date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:35	111424/111424	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Aug%202023%2019:52:56%20GMT	https://votesaveamerica.com/candidate/donald-trump/	C:/My%20Web%20Sites/jackv2/votesaveamerica.com/candidate/donald-trump/index.html	(from )
16:07:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2020:08:16%20GMT	https://votesaveamerica.com/robots.txt		(from )
16:07:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2026%20Aug%202023%2020:08:16%20GMT	http://www.klaviyo.com/media/js/public/klaviyo_subscribe.js	C:/My%20Web%20Sites/jackv2/www.klaviyo.com/media/js/public/klaviyo_subscribe.0.delayed	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:36	21201/21201	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264b992fc-52d1%22	https://www.klaviyo.com/media/js/public/klaviyo_subscribe.js	C:/My%20Web%20Sites/jackv2/www.klaviyo.com/media/js/public/klaviyo_subscribe.js	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:36	3056/3056	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a05e7c46431a2ee0c7ef1db9ac581d39%22	https://static.klaviyo.com/onsite/js/klaviyo.js?company_id=UbWYQp	C:/My%20Web%20Sites/jackv2/static.klaviyo.com/onsite/js/klaviyo0b0c.js	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:36	2723/2723	---M-Z	200	added ('OK')	text/css	etag:W/%2264d39c98-aa3%22	https://votesaveamerica.com/wp-content/plugins/complianz-gdpr-premium/assets/css/cookieblocker.min.css?ver=6.3.7.1	C:/My%20Web%20Sites/jackv2/votesaveamerica.com/wp-content/plugins/complianz-gdpr-premium/assets/css/cookieblocker.min54ab.css	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:36	461588/461588	---M-Z	200	added ('OK')	text/css	etag:W/%2264e81180-70b14%22	https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1693066261	C:/My%20Web%20Sites/jackv2/votesaveamerica.com/wp-content/themes/vsa/compiled/main3739.css	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:37	19870/19870	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f231946902df3fc33ce6beb4bf78c6c5%22	https://app.votesaveamerica.civicengine.com/embed.js	C:/My%20Web%20Sites/jackv2/app.votesaveamerica.civicengine.com/embed.js	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:37	3295/3295	---MCZ	200	added ('OK')	text/css	etag:W/%22c8391403bcf99bf6ba692bbb8127a8f2%22	https://app.votesaveamerica.civicengine.com/embed.css	C:/My%20Web%20Sites/jackv2/app.votesaveamerica.civicengine.com/embed.css	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:37	825/825	---M--	200	added ('OK')	image/png	etag:%22bc0206f718965ed122c3ad83741581e9%22	https://res.cloudinary.com/crooked-media/images/w_32,h_32,c_scale/f_auto,q_auto/v1642465073/cropped-favicon/cropped-favicon-32x32.png?_i=AA	C:/My%20Web%20Sites/jackv2/res.cloudinary.com/crooked-media/images/w_32,h_32,c_scale/f_auto,q_auto/v1642465073/cropped-favicon/cropped-favicon-32x32d0f5.png	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:37	2766/2766	---M--	200	added ('OK')	image/png	etag:%22292a3ce4a9e818255b2ab4d801e1398c%22	https://res.cloudinary.com/crooked-media/images/w_192,h_192,c_scale/f_auto,q_auto/v1642465073/cropped-favicon/cropped-favicon-192x192.png?_i=AA	C:/My%20Web%20Sites/jackv2/res.cloudinary.com/crooked-media/images/w_192,h_192,c_scale/f_auto,q_auto/v1642465073/cropped-favicon/cropped-favicon-192x192d0f5.png	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:38	2513/2513	---M--	200	added ('OK')	image/png	etag:%225496f1665cf1cfe80a94790ebb63ac6b%22	https://res.cloudinary.com/crooked-media/images/w_180,h_180,c_scale/f_auto,q_auto/v1642465073/cropped-favicon/cropped-favicon-180x180.png?_i=AA	C:/My%20Web%20Sites/jackv2/res.cloudinary.com/crooked-media/images/w_180,h_180,c_scale/f_auto,q_auto/v1642465073/cropped-favicon/cropped-favicon-180x180d0f5.png	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:38	82/82	---M--	200	added ('OK')	image/png	etag:%22fdbe590d0ea5eb0b4ae596c6255ec8eb%22	https://res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1579632526/VSA-Candidate-Detail-Hero-Trump_Background_jdjczu.jpg	C:/My%20Web%20Sites/jackv2/res.cloudinary.com/crooked-media/image/upload/f_auto,q_auto/c_scale,w_1,h_1/v1579632526/VSA-Candidate-Detail-Hero-Trump_Background_jdjczu.png	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:38	558691/558691	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2264e9e586-88663%22	https://votesaveamerica.com/wp-content/themes/vsa/compiled/js/app.js?ver=1693066261	C:/My%20Web%20Sites/jackv2/votesaveamerica.com/wp-content/themes/vsa/compiled/js/app3739.js	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:38	48616/48616	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22648a20cb-bde8%22	https://votesaveamerica.com/wp-content/plugins/complianz-gdpr-premium/cookiebanner/js/complianz.min.js?ver=6.3.7.1	C:/My%20Web%20Sites/jackv2/votesaveamerica.com/wp-content/plugins/complianz-gdpr-premium/cookiebanner/js/complianz.min54ab.js	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:39	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2026%20Aug%202023%2020:08:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/jackv2/www.googletagmanager.com/gtm.d5445.delayed	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:39	769748/769748	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b8504868395131e5ac1eb1d5376544f4%22	https://acsbapp.com/apps/app/dist/js/app.js	C:/My%20Web%20Sites/jackv2/acsbapp.com/apps/app/dist/js/app.js	(from https://votesaveamerica.com/candidate/donald-trump/)
16:07:39	118/118	---M--	200	added ('OK')	image/png	etag:%2264da3c1f-76%22	https://votesaveamerica.com/wp-content/themes/vsa/images/gradient-mobile.png	C:/My%20Web%20Sites/jackv2/votesaveamerica.com/wp-content/themes/vsa/images/gradient-mobile.png	(from https://votesaveamerica.com/wp-content/themes/vsa/compiled/main.css?ver=1693066261)
